epoch,loss
0,0.001419036000063925
0,0.0001704942350643959,2.2609846819722844e-05
1,1.4265167377087608e-05,9.636125026178901e-06
2,7.678160665043417e-06,6.225978303483352e-06
3,5.343828793304026e-06,4.51811219691435e-06
4,4.022448908964165e-06,3.5730724726085832e-06
5,3.2392109937600403e-06,2.9869066453669237e-06
6,2.7022812707296223e-06,2.504477621399716e-06
7,2.3036653609048444e-06,2.1582395807948976e-06
8,2.0106219753721296e-06,1.9007602207109033e-06
9,1.7831456284138917e-06,1.6406760043135765e-06
10,1.5670736651313224e-06,1.4899265960440214e-06
11,1.433841589087173e-06,1.3467376858260377e-06
12,1.2748641893267632e-06,1.2373473291281934e-06
13,1.176762065906736e-06,1.1209028008573574e-06
14,1.1128999131705924e-06,1.1278968608840168e-06
15,1.0042543605971437e-06,9.549930955354402e-07
16,9.345965680517648e-07,9.000243630317209e-07
17,8.898938450538033e-07,8.211892589303728e-07
18,9.5794211134847e-07,9.4742246016143e-07
19,7.863092417240102e-07,7.349350042133736e-07
20,7.186316340311514e-07,6.966457120839763e-07
21,1.083501085125389e-06,7.218100802662787e-07
22,6.751297062647445e-07,6.312323704776929e-07
23,6.244730852291677e-07,6.384497225270308e-07
24,5.85249414576001e-07,5.664213705284811e-07
25,5.619031992223501e-07,5.413766068052715e-07
26,5.414511622534444e-07,5.264454356082834e-07
27,5.709647259440406e-07,6.237387018310463e-07
28,5.372347586075432e-07,4.726534117052525e-07
29,4.686062100920592e-07,4.6088252346422665e-07
30,4.828787516581527e-07,4.824784637153184e-07
31,4.391488901688479e-07,4.3082585076948134e-07
32,4.3020810809422506e-07,4.322550799835361e-07
33,4.2664707458899384e-07,4.285356117061501e-07
34,4.244348213537482e-07,4.230014324152703e-07
35,4.257529017046241e-07,4.264418186999314e-07
36,4.2797799801146686e-07,4.2217867191196436e-07
37,4.1827857640022495e-07,4.202982506444937e-07
38,4.1620167722299575e-07,4.1789720198012926e-07
39,4.2144823700269983e-07,4.161180188416497e-07
40,4.118410388997052e-07,4.1355698806603266e-07
41,4.163264810492857e-07,4.1056229072743813e-07
42,4.08831214908936e-07,4.111026147380802e-07
43,4.067832305810923e-07,4.060884010242888e-07
44,4.0366643118983627e-07,4.0841378482322656e-07
45,4.061401279956998e-07,3.997974365072925e-07
46,3.990092961027928e-07,4.0049617389847194e-07
47,3.9788474103514716e-07,4.00808015787003e-07
48,3.944266177872809e-07,3.9036574686155315e-07
49,3.9244197268328474e-07,3.950275753028676e-07
50,3.9288623195746175e-07,3.892919322312649e-07
51,3.942191572933239e-07,3.879862134312276e-07
52,3.810058730822839e-07,3.890844456319345e-07
53,3.8128580772387126e-07,3.7872460852254747e-07
54,3.8545258641280554e-07,3.8012115129430486e-07
55,3.7457164144590755e-07,3.7952839808847833e-07
56,3.7965570434190324e-07,3.765115026565924e-07
57,3.709534445213231e-07,3.723990784084134e-07
58,3.700107311312765e-07,3.688850134559678e-07
59,3.689012936640628e-07,3.685348351107725e-07
60,3.658038651121656e-07,3.6042188952847795e-07
61,3.600125624557893e-07,3.663694983869946e-07
62,3.6853675700528033e-07,3.599041319860105e-07
63,3.5668022157969076e-07,3.6591759579084295e-07
64,3.5952557393706167e-07,3.5891597743504063e-07
65,3.577313628127621e-07,3.531217347044022e-07
66,3.549343931972842e-07,3.555757555293351e-07
67,3.590741269989416e-07,3.5704753831733004e-07
68,3.522948418321903e-07,3.5327434968710263e-07
69,3.5093689281192845e-07,3.5174991254492637e-07
70,3.517543049025842e-07,3.485028370706258e-07
71,3.4766116676959817e-07,3.4780746340721315e-07
72,3.4979678268249044e-07,3.49069582566758e-07
73,3.434587573211189e-07,3.4425216630575936e-07
74,3.4518690917079243e-07,3.42786507842477e-07
75,3.429364082354577e-07,3.455875082783985e-07
76,3.416705247732874e-07,3.400350187626095e-07
77,3.3960558479908493e-07,3.3924353579686205e-07
78,3.383861724159942e-07,3.379904669216487e-07
79,3.359475083023605e-07,3.356554068225457e-07
80,3.3539969699930105e-07,3.3395635297255196e-07
81,3.3362928831116196e-07,3.358102150753427e-07
82,3.308558128261867e-07,3.2983785792106125e-07
83,3.3100977369210085e-07,3.282642814888454e-07
84,3.2776318847504254e-07,3.270736026951891e-07
85,3.2600978295808775e-07,3.272892478015784e-07
86,3.2568914358292756e-07,3.251451819589609e-07
87,3.2431381976598233e-07,3.244342178805863e-07
88,3.2262421073624626e-07,3.207339824263266e-07
89,3.208117171376872e-07,3.173091657017367e-07
90,3.1800049156550275e-07,3.186068555534165e-07
91,3.1810133467932576e-07,3.162252598881482e-07
92,3.1439451662827496e-07,3.1352655416749375e-07
93,3.150133438123062e-07,3.1498084080954254e-07
94,3.1152090801309686e-07,3.101518964079084e-07
95,3.0941464986232755e-07,3.076940967875172e-07
96,3.0911643959564675e-07,3.127640139143307e-07
97,3.068318144377387e-07,3.0511702269515286e-07
98,3.071691358653596e-07,2.9949270487559734e-07
99,2.9914900182359174e-07,3.0870563926788685e-07
